name,n_sample,Z_noise,W_noise,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,network_depth,network_width,max_avg_val_MSE
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,2,40,1.7888269840000004
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,2,80,1.6629796700000006
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,3,10,13.280380040000002
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,3,40,1.8011516399999998
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,3,80,1.7203071119999997
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,4,10,15.52695474
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,4,40,2.0878341479999993
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,4,80,1.6539196659999995
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,5,10,2.887470128
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,5,40,1.8207045880000001
naive_neural_net_AWZY,5000,1,1,3000,1000,True,0.003,3e-05,5,80,1.7401107759999999
