name,n_sample,n_epochs,batch_size,log_metrics,learning_rate,l2_penalty,loss_name,network_depth,network_width,max_avg_causal_loss_val
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,2,40,0.05438827515999999
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,2,80,0.006644774088
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,3,10,0.059927014799999984
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,3,40,0.011522525589999999
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,3,80,0.009178555389999996
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,4,10,0.0598604428
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,4,40,0.05432781617999999
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,4,80,0.05701917853999999
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,5,10,0.05913178959999999
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,5,40,0.037629409579999995
nmmr,5000,3000,1000,True,0.0003,3e-05,U_statistic,5,80,0.02773259082
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,2,10,0.06096320008
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,2,40,0.010752130009999998
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,2,80,0.006936175236000002
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,3,10,0.06534246978000001
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,3,40,0.008310267750000003
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,3,80,0.006611113945999998
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,4,10,0.06595942410000002
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,4,40,0.005826385002
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,4,80,0.007695843510000001
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,5,10,0.06158433258000001
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,5,40,0.009096658761999997
nmmr,5000,3000,1000,True,0.003,3e-07,V_statistic,5,80,0.0086681820902
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,2,10,0.056216909940000004
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,2,40,0.009801475716
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,2,80,0.0072251963860000025
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,3,10,0.06173458862000004
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,3,40,0.009198266474000003
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,3,80,0.008756977590000001
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,4,10,0.06227131368000001
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,4,40,0.010600776495999999
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,4,80,0.006865466344000001
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,5,10,0.05842526477999999
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,5,40,0.012393524214000005
nmmr,5000,3000,1000,True,0.003,3e-07,U_statistic,5,80,0.009175546456
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,2,10,0.05999537054000001
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,2,40,0.006830975325999999
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,2,80,0.005891555998000001
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,3,10,0.061384184579999994
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,3,40,0.007818179768000002
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,3,80,0.008123560798
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,4,10,0.06010475059999997
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,4,40,0.010044522020000004
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,4,80,0.0066874025700000015
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,5,10,0.03731638126
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,5,40,0.011920274661999998
nmmr,5000,3000,1000,True,0.003,3e-06,V_statistic,5,80,0.009218680781799998
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,2,10,0.05645360128
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,2,40,0.008457270678
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,2,80,0.006853522301999998
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,3,10,0.05810842300000002
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,3,40,0.011530485952000003
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,3,80,0.008775200128
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,4,10,0.05782437242000001
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,4,40,0.009712469686000001
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,4,80,0.01006584078
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,5,10,0.06066137435999999
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,5,40,0.010864576905999998
nmmr,5000,3000,1000,True,0.003,3e-06,U_statistic,5,80,0.011847557242000002
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,2,10,0.05962367981999997
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,2,40,0.010616671350000002
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,2,80,0.006278332802000002
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,3,10,0.06569327490000001
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,3,40,0.010350530296000002
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,3,80,0.007523748701999999
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,4,10,0.060028621039999994
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,4,40,0.008131364043999998
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,4,80,0.0077379937420000025
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,5,10,0.016571788650000002
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,5,40,0.009455300671999999
nmmr,5000,3000,1000,True,0.003,3e-05,V_statistic,5,80,0.01185329894
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,2,10,0.05796939516
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,2,40,0.009285639116000001
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,2,80,0.006866529510000001
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,3,10,0.0631872774
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,3,40,0.00972994357
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,3,80,0.007245564935999999
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,4,10,0.06094980542000001
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,4,40,0.011524993173999997
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,4,80,0.011191597582000001
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,5,10,0.057017083400000015
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,5,40,0.012804910014000002
nmmr,5000,3000,1000,True,0.003,3e-05,U_statistic,5,80,0.013871185301999997
